basetime,city_id,NO2,O3,PM10,PM2.5
2015-01-01,AQ001,25.28,30.06,41.76,19.86
2015-01-01,AQ002,22.67,30.05,13.58,8.95
2015-01-01,AQ003,7.80,63.02,7.39,4.38
2015-01-01,AQ004,28.66,40.01,20.09,14.16
2015-01-01,AQ005,14.80,35.78,50.96,28.66
2015-01-01,AQ006,19.98,32.49,29.15,23.78
2015-01-01,AQ007,25.46,21.62,20.12,23.38
2015-01-01,AQ008,7.93,55.61,22.13,13.58
2015-01-01,AQ009,20.88,27.67,46.32,32.46
2015-01-01,AQ010,23.95,31.96,31.65,25.41
2015-01-01,AQ011,14.55,27.98,27.34,22.90
2015-01-01,AQ012,27.68,23.40,32.60,33.84
2015-01-01,AQ013,24.84,26.25,28.45,20.50
2015-01-01,AQ014,13.87,50.94,25.54,17.04
2015-01-01,AQ015,5.20,36.23,5.09,2.87
2015-01-01,AQ016,19.73,36.01,32.69,24.63
2015-01-01,AQ017,9.49,44.47,9.39,6.95
2015-01-01,AQ018,28.65,24.20,36.87,27.93
2015-01-01,AQ019,29.18,35.24,46.39,41.57
2015-01-01,AQ020,21.04,43.84,22.85,15.20
2015-01-01,AQ021,40.27,13.65,31.07,20.47
2015-01-01,AQ022,26.71,25.61,33.62,27.46
2015-01-01,AQ023,79.41,7.56,31.19,30.38
2015-01-01,AQ024,33.12,18.01,31.60,21.38
2015-01-01,AQ025,55.68,7.81,39.19,34.83
2015-01-01,AQ026,19.99,32.30,26.49,13.94
2015-01-01,AQ027,37.28,9.12,36.84,27.37
2015-01-01,AQ028,15.07,55.67,12.70,8.55
2015-01-01,AQ029,4.28,65.12,76.34,9.27
2015-01-01,AQ030,18.21,23.29,22.90,12.53
2015-01-01,AQ031,53.63,20.71,64.72,44.50
2015-01-01,AQ032,3.06,64.72,14.41,11.50
2015-01-01,AQ033,22.05,10.30,26.45,19.54
2015-01-01,AQ034,4.99,63.65,21.65,16.57
2015-01-01,AQ035,5.68,54.60,5.46,3.98
2015-01-01,AQ036,7.84,55.13,10.91,8.04
2015-01-01,AQ037,13.21,53.30,13.66,8.42
2015-01-01,AQ038,5.59,50.45,22.48,17.59
2015-01-01,AQ039,9.50,61.41,26.81,16.90
2015-01-01,AQ040,16.51,51.20,24.24,21.96
2015-01-01,AQ041,7.31,54.85,11.20,7.12
2015-01-01,AQ042,8.71,44.87,10.10,7.28
2015-01-01,AQ043,5.26,63.36,10.83,10.91
2015-01-01,AQ044,48.52,10.17,38.02,34.94
2015-01-01,AQ045,22.26,30.93,19.38,9.87
2015-01-01,AQ046,4.39,63.05,11.79,3.56
2015-01-01,AQ047,23.56,37.74,30.79,23.38
2015-01-01,AQ048,10.32,39.92,16.66,13.18
2015-01-01,AQ049,19.91,23.67,36.97,26.05
2015-01-01,AQ050,24.13,25.24,34.62,22.83
2015-01-02,AQ001,11.58,59.41,18.13,5.98
2015-01-02,AQ002,27.66,23.49,29.86,17.45
2015-01-02,AQ003,18.51,52.76,12.47,10.36
2015-01-02,AQ004,44.88,20.10,25.24,20.97
2015-01-02,AQ005,21.70,34.64,53.50,35.02
2015-01-02,AQ006,12.65,51.76,10.72,6.65
2015-01-02,AQ007,20.84,23.66,11.81,11.66
2015-01-02,AQ008,5.68,64.45,15.72,4.32
2015-01-02,AQ009,19.92,27.84,38.07,25.27
2015-01-02,AQ010,18.13,46.29,20.05,10.02
2015-01-02,AQ011,11.53,40.02,28.25,23.85
2015-01-02,AQ012,28.11,17.47,39.71,29.78
2015-01-02,AQ013,18.23,45.42,11.39,6.94
2015-01-02,AQ014,8.91,64.49,13.16,5.33
2015-01-02,AQ015,7.54,34.82,12.08,3.80
2015-01-02,AQ016,9.42,61.40,11.47,5.85
2015-01-02,AQ017,7.48,53.76,4.45,3.14
2015-01-02,AQ018,22.21,17.49,30.47,21.22
2015-01-02,AQ019,26.62,28.29,56.44,39.55
2015-01-02,AQ020,30.99,39.57,16.39,6.39
2015-01-02,AQ021,25.02,27.74,14.50,10.84
2015-01-02,AQ022,43.44,6.17,60.62,40.85
2015-01-02,AQ023,84.86,5.03,27.82,22.24
2015-01-02,AQ024,27.91,30.97,28.95,17.36
2015-01-02,AQ025,58.98,4.86,44.85,34.83
2015-01-02,AQ026,24.93,25.98,27.33,12.31
2015-01-02,AQ027,17.42,39.33,14.92,11.85
